source,/services,/services/{id},/services/{id}/details,/services/{id}/opinions,/services/{id}/offers,/services/{id}/information,/services/{id}/configuration,/services/{id}/summary,/comparisons,order,unknown_page_id
/services,unknown_transition,mild_interest,unknown_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition
/services/{id},unknown_transition,simple_transition,mild_interest,mild_interest,interest,interest,unknown_transition,unknown_transition,interest,unknown_transition,unknown_transition
/services/{id}/details,unknown_transition,simple_transition,simple_transition,mild_interest,interest,interest,unknown_transition,unknown_transition,interest,unknown_transition,unknown_transition
/services/{id}/opinions,unknown_transition,simple_transition,mild_interest,simple_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition,interest,unknown_transition,unknown_transition
/services/{id}/offers,unknown_transition,simple_transition,unknown_transition,unknown_transition,simple_transition,interest,unknown_transition,interest,unknown_transition,unknown_transition,unknown_transition
/services/{id}/information,unknown_transition,simple_transition,simple_transition,simple_transition,simple_transition,simple_transition,interest,interest,unknown_transition,unknown_transition,unknown_transition
/services/{id}/configuration,unknown_transition,simple_transition,unknown_transition,unknown_transition,simple_transition,simple_transition,simple_transition,interest,unknown_transition,unknown_transition,unknown_transition
/services/{id}/summary,unknown_transition,simple_transition,unknown_transition,unknown_transition,simple_transition,simple_transition,simple_transition,simple_transition,unknown_transition,order,unknown_transition
/comparisons,unknown_transition,simple_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition,simple_transition,unknown_transition,unknown_transition
order,unknown_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition,unknown_transition
unknown_page_id,unknown_transition,simple_transition,mild_interest,mild_interest,interest,interest,interest,interest,interest,order,unknown_transition